title,value,thumbnail,thumbnail_size_x,thumbnail_size_y,info,sort_order
RAL 1000,RAL 1000,https://s3-eu-west-1.amazonaws.com/ral-images/1000-50x50.png,50,50,,0
RAL 1001,RAL 1001,https://s3-eu-west-1.amazonaws.com/ral-images/1001-50x50.png,50,50,,1
RAL 1002,RAL 1002,https://s3-eu-west-1.amazonaws.com/ral-images/1002-50x50.png,50,50,,2
RAL 1003,RAL 1003,https://s3-eu-west-1.amazonaws.com/ral-images/1003-50x50.png,50,50,,3
RAL 1004,RAL 1004,https://s3-eu-west-1.amazonaws.com/ral-images/1004-50x50.png,50,50,,4
RAL 1005,RAL 1005,https://s3-eu-west-1.amazonaws.com/ral-images/1005-50x50.png,50,50,,5
RAL 1006,RAL 1006,https://s3-eu-west-1.amazonaws.com/ral-images/1006-50x50.png,50,50,,6
RAL 1007,RAL 1007,https://s3-eu-west-1.amazonaws.com/ral-images/1007-50x50.png,50,50,,7
RAL 1011,RAL 1011,https://s3-eu-west-1.amazonaws.com/ral-images/1011-50x50.png,50,50,,8
RAL 1012,RAL 1012,https://s3-eu-west-1.amazonaws.com/ral-images/1012-50x50.png,50,50,,9
RAL 1013,RAL 1013,https://s3-eu-west-1.amazonaws.com/ral-images/1013-50x50.png,50,50,,10
RAL 1014,RAL 1014,https://s3-eu-west-1.amazonaws.com/ral-images/1014-50x50.png,50,50,,11
RAL 1015,RAL 1015,https://s3-eu-west-1.amazonaws.com/ral-images/1015-50x50.png,50,50,,12
RAL 1016,RAL 1016,https://s3-eu-west-1.amazonaws.com/ral-images/1016-50x50.png,50,50,,13
RAL 1017,RAL 1017,https://s3-eu-west-1.amazonaws.com/ral-images/1017-50x50.png,50,50,,14
RAL 1018,RAL 1018,https://s3-eu-west-1.amazonaws.com/ral-images/1018-50x50.png,50,50,,15
RAL 1019,RAL 1019,https://s3-eu-west-1.amazonaws.com/ral-images/1019-50x50.png,50,50,,16
RAL 1020,RAL 1020,https://s3-eu-west-1.amazonaws.com/ral-images/1020-50x50.png,50,50,,17
RAL 1021,RAL 1021,https://s3-eu-west-1.amazonaws.com/ral-images/1021-50x50.png,50,50,,18
RAL 1023,RAL 1023,https://s3-eu-west-1.amazonaws.com/ral-images/1023-50x50.png,50,50,,19
RAL 1024,RAL 1024,https://s3-eu-west-1.amazonaws.com/ral-images/1024-50x50.png,50,50,,20
RAL 1026,RAL 1026,https://s3-eu-west-1.amazonaws.com/ral-images/1026-50x50.png,50,50,,21
RAL 1027,RAL 1027,https://s3-eu-west-1.amazonaws.com/ral-images/1027-50x50.png,50,50,,22
RAL 1028,RAL 1028,https://s3-eu-west-1.amazonaws.com/ral-images/1028-50x50.png,50,50,,23
RAL 1032,RAL 1032,https://s3-eu-west-1.amazonaws.com/ral-images/1032-50x50.png,50,50,,24
RAL 1033,RAL 1033,https://s3-eu-west-1.amazonaws.com/ral-images/1033-50x50.png,50,50,,25
RAL 1034,RAL 1034,https://s3-eu-west-1.amazonaws.com/ral-images/1034-50x50.png,50,50,,26
RAL 1035,RAL 1035,https://s3-eu-west-1.amazonaws.com/ral-images/1035-50x50.png,50,50,,27
RAL 1036,RAL 1036,https://s3-eu-west-1.amazonaws.com/ral-images/1036-50x50.png,50,50,,28
